"This file contains political files uploaded by KYW-TV during the years 2014 as of 2014-11-06 16:30:29.302013. This station serves PHILADELPHIA, PA in the PHILADELPHIA market and FCC's partyName--generally the owner-- is CBS BROADCASTING INC.. FCC records give the rfChannel as 26, virtualChannel as 3 and network affiiliate as CBS."
filetype,order_number,print_date,agency_name,advertiser_name,agency_contact,product,flight_date_start,flight_date_end,number_of_spots,gross_amount,file_url,upload_time,callsign,file_size,fcc_id,pdf_location,txt_location,Tagged,Producer,Creator,Encrypted,Author,File size,Optimized,PDF version,Title,Page size,CreationDate,Pages
other,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20BASEFILE%20FED%20NAB%20%2814145944381915%29.pdf,2014-10-29 10:53:00,KYW-TV,158.61 Kb,14145944381915,pdfs/14145944381915.pdf,txts/14145944381915.txt,no,eCopy ShareScan,OmniPage CSDK 18,no,,162417 bytes,yes,1.6,,612 x 792 pts (letter),Mon Jul 28 16:09:12 2014,4
other,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20BASEFILE%20FED%20PIQ%20%2814146802232577%29.pdf,2014-10-30 10:43:00,KYW-TV,57.02 Kb,14146802232577,pdfs/14146802232577.pdf,txts/14146802232577.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,58393 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Thu Oct 30 10:41:19 2014,1
invoice,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92083%20FED%20INVOICE%20%2814150377906971%29.pdf,2014-11-03 13:03:00,KYW-TV,53.23 Kb,14150377906971,pdfs/14150377906971.pdf,txts/14150377906971.txt,no,PDFsharp 1.2.1269-g (www.pdfsharp.com),PDFsharp 1.2.1269-g (www.pdfsharp.com),no,,54512 bytes,yes,1.6,,792 x 612 pts (letter),Mon Nov  3 13:00:29 2014,3
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92083%20FED%20ORDER%20%2814126011747630%29.pdf,2014-10-06 09:12:00,KYW-TV,29.39 Kb,14126011747630,pdfs/14126011747630.pdf,txts/14126011747630.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,30100 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Mon Oct  6 08:44:40 2014,2
contract,1041-92083-1,10/03/14,"GMMB, INC.",BELGARD FOR CONGRESS,Maura GILROY, 3751,10/07/14,10/13/14,11,9350.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92083%20FED%20TRACT%20%2814126011750490%29.pdf,2014-10-06 09:12:00,KYW-TV,76.25 Kb,14126011750490,pdfs/14126011750490.pdf,txts/14126011750490.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,78084 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Mon Oct  6 08:46:15 2014,1
contract,1041-92168-1,10/10/14,"GMMB, INC.",BELGARD FOR CONGRESS,Maura GILROY, D HOUSE NJ 3,10/13/14,10/19/14,12,7625.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92168%20FED%20CONTRACT%20%2814132131170606%29.pdf,2014-10-13 11:11:00,KYW-TV,82.04 Kb,14132131170606,pdfs/14132131170606.pdf,txts/14132131170606.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,84006 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Mon Oct 13 10:47:02 2014,2
invoice,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92168%20FED%20INVOICE%20%2814150377914607%29.pdf,2014-11-03 13:03:00,KYW-TV,56.44 Kb,14150377914607,pdfs/14150377914607.pdf,txts/14150377914607.txt,no,PDFsharp 1.2.1269-g (www.pdfsharp.com),PDFsharp 1.2.1269-g (www.pdfsharp.com),no,,57795 bytes,yes,1.6,,792 x 612 pts (letter),Mon Nov  3 12:59:41 2014,4
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92168%20FED%20ORDER%20%2814132131177818%29.pdf,2014-10-13 11:11:00,KYW-TV,29.96 Kb,14132131177818,pdfs/14132131177818.pdf,txts/14132131177818.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,30683 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Mon Oct 13 10:46:22 2014,2
contract,1041-92169-1,10/10/14,"GMMB, INC.",BELGARD FOR CONGRESS,Maura GILROY, D HOUSE NJ 3,10/13/14,10/19/14,6,3600.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92169%20FED%20CONTRACT%20%2814132131173482%29.pdf,2014-10-13 11:11:00,KYW-TV,76.17 Kb,14132131173482,pdfs/14132131173482.pdf,txts/14132131173482.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,78002 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Mon Oct 13 10:47:57 2014,1
invoice,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92169%20FED%20INVOICE%20%2814150377917295%29.pdf,2014-11-03 13:03:00,KYW-TV,47.97 Kb,14150377917295,pdfs/14150377917295.pdf,txts/14150377917295.txt,no,PDFsharp 1.2.1269-g (www.pdfsharp.com),PDFsharp 1.2.1269-g (www.pdfsharp.com),no,,49117 bytes,yes,1.6,,792 x 612 pts (letter),Mon Nov  3 13:00:06 2014,2
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92169%20FED%20ORDER%20%2814132131179473%29.pdf,2014-10-13 11:11:00,KYW-TV,26.88 Kb,14132131179473,pdfs/14132131179473.pdf,txts/14132131179473.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,27520 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Mon Oct 13 10:47:42 2014,2
contract,1041-92221-1,10/16/14,"GMMB, INC.",BELGARD FOR CONGRESS, , D HOUSE NJ 3,10/20/14,10/26/14,16,9295.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92221%20FED%20CONTRACT%20%2814135514443897%29.pdf,2014-10-17 09:10:00,KYW-TV,81.87 Kb,14135514443897,pdfs/14135514443897.pdf,txts/14135514443897.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,83831 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Fri Oct 17 09:02:37 2014,2
invoice,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92221%20FED%20INVOICE%20%2814150377919258%29.pdf,2014-11-03 13:03:00,KYW-TV,53.57 Kb,14150377919258,pdfs/14150377919258.pdf,txts/14150377919258.txt,no,PDFsharp 1.2.1269-g (www.pdfsharp.com),PDFsharp 1.2.1269-g (www.pdfsharp.com),no,,54852 bytes,yes,1.6,,792 x 612 pts (letter),Mon Nov  3 12:59:15 2014,3
