"This file contains political files uploaded by WCAU during the years 2014 as of 2014-11-19 23:03:16.352022. This station serves PHILADELPHIA, PA in the PHILADELPHIA market and FCC's partyName--generally the owner-- is NBC TELEMUNDO LICENSE LLC. FCC records give the rfChannel as 34, virtualChannel as 10 and network affiiliate as NBC."
order_number,product,flight_date_start,flight_date_end,advertiser,original_date,revision_date,agency_name,demographic,spots,gross,contract_type,file_url,upload_time,callsign,file_size,fcc_id,pdf_location,txt_location,Tagged,Producer,Creator,Encrypted,Author,File size,Optimized,PDF version,Title,Page size,CreationDate,Pages
498552,Candidate,10/14/14,10/20/14,AIMEE BELGARD FOR CONGRESS,10/17/14,10/17/14,GMMB,RA35+,10,"$7,500.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/AIMEE%20BELGARD%20FOR%20CONGRESS/Aimee%20Belgard498552%2D%2D1%20%2814135841097800%29.pdf,2014-10-17 18:15:00,WCAU,29.13 Kb,14135841097800,pdfs/14135841097800.pdf,txts/14135841097800.txt,no,ReportBuilder,ReportBuilder,no,,29834 bytes,no,1.3,,612 x 792.003 pts (letter),Fri Oct 17 16:15:22 2014,2
498568,Candidate,10/28/14,11/03/14,AIMEE BELGARD FOR CONGRESS,10/24/14,10/24/14,GMMB,RA35+,8,"$6,975.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/AIMEE%20BELGARD%20FOR%20CONGRESS/Aimee%20Belgard498568%2D%2D1%20%2814146024192312%29.pdf,2014-10-29 13:06:00,WCAU,23.50 Kb,14146024192312,pdfs/14146024192312.pdf,txts/14146024192312.txt,no,ReportBuilder,,no,,24062 bytes,no,1.3,,612 x 792.003 pts (letter),Fri Oct 24 13:35:07 2014,2
498577,Candidate,10/21/14,10/27/14,AIMEE BELGARD FOR CONGRESS,10/24/14,10/24/14,GMMB,RA35+,9,"$8,000.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/AIMEE%20BELGARD%20FOR%20CONGRESS/Aimee%20Belgard498577%2D%2D1%20%2814146024396328%29.pdf,2014-10-29 13:07:00,WCAU,23.00 Kb,14146024396328,pdfs/14146024396328.pdf,txts/14146024396328.txt,no,ReportBuilder,,no,,23550 bytes,no,1.3,,612 x 792.003 pts (letter),Fri Oct 24 13:39:00 2014,2
503013,Candidate,10/07/14,10/13/14,AIMEE BELGARD FOR CONGRESS,10/03/14,10/28/14,GMMB,RA35+,10,"$7,275.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/AIMEE%20BELGARD%20FOR%20CONGRESS/Aimee%20Belgard503013%2D%2D1%20%2814146024662764%29.pdf,2014-10-29 13:07:00,WCAU,22.92 Kb,14146024662764,pdfs/14146024662764.pdf,txts/14146024662764.txt,no,ReportBuilder,,no,,23465 bytes,no,1.3,,612 x 792.003 pts (letter),Wed Oct 29 09:39:04 2014,2
506222,Candidate,10/21/14,11/01/14,AIMEE BELGARD FOR CONGRESS,10/27/14,10/27/14,GMMB,RA35+,14,"$6,150.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/AIMEE%20BELGARD%20FOR%20CONGRESS/Aimee%20Belgard506222%2D%2D1%20%2814146024854573%29.pdf,2014-10-29 13:08:00,WCAU,27.90 Kb,14146024854573,pdfs/14146024854573.pdf,txts/14146024854573.txt,no,ReportBuilder,,no,,28571 bytes,no,1.3,,612 x 792.003 pts (letter),Mon Oct 27 11:59:31 2014,2
508087,Candidate,10/28/14,11/03/14,AIMEE BELGARD FOR CONGRESS,10/27/14,10/31/14,GMMB,RA35+,47,"$31,850.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/AIMEE%20BELGARD%20FOR%20CONGRESS/Aimee%20Belgard508087%2D%2D1%20%2814152895488373%29.pdf,2014-11-06 10:59:00,WCAU,48.98 Kb,14152895488373,pdfs/14152895488373.pdf,txts/14152895488373.txt,no,ReportBuilder,,no,,50153 bytes,no,1.3,,612 x 792.003 pts (letter),Thu Nov  6 10:58:32 2014,5
505022,Candidate,10/14/14,10/20/14,AIMEE BELGARD FOR CONGRESS,10/16/14,10/16/14,GMMB,RA35+,6,"$4,650.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/AIMEE%20BELGARD%20FOR%20CONGRESS/Belgard505022%2D%2D1%20%2814135841773982%29.pdf,2014-10-17 18:16:00,WCAU,22.68 Kb,14135841773982,pdfs/14135841773982.pdf,txts/14135841773982.txt,no,ReportBuilder,ReportBuilder,no,,23229 bytes,no,1.3,,612 x 792.003 pts (letter),Thu Oct 16 12:03:50 2014,2
469542,Primary,05/15/14,05/20/14,BRENDAN BOYLE FOR CONGRESS,05/27/14,05/27/14,DUDLEY MEDIA,RA1849,25,"$18,950.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/BRENDAN%20BOYLE%20FOR%20CONGRESS/Brendan%20Boyle%20Updtd%20469542%2D%2D1%20%2814020924711399%29.pdf,2014-06-06 18:07:00,WCAU,27.15 Kb,14020924711399,pdfs/14020924711399.pdf,txts/14020924711399.txt,no,ReportBuilder,ReportBuilder,no,,27799 bytes,no,1.3,,612 x 792.003 pts (letter),Tue May 27 16:08:28 2014,2
,,,,,,,,,,,,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/BRENDAN%20BOYLE%20FOR%20CONGRESS/dudley%20%2D%20boyle%20request%20%2814002735724578%29.pdf,2014-05-16 16:52:00,WCAU,62.81 Kb,14002735724578,pdfs/14002735724578.pdf,txts/14002735724578.txt,yes,Microsoft® Word 2010,Microsoft® Word 2010,no,A Valued Microsoft Customer,64313 bytes,no,1.5,NBC 4/ LOS ANGELES,612 x 792 pts (letter),Fri May 16 16:51:48 2014,1
464849,Political,04/22/14,04/28/14,DAYLIN FOR CONGRESS,05/27/14,05/27/14,BUYING TIME MEDIA,RHH,37,"$23,330.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/DAYLIN%20FOR%20CONGRESS/Updated%20Daylin464849%2D%2D1%20%2814013031483870%29.pdf,2014-05-28 14:52:00,WCAU,40.23 Kb,14013031483870,pdfs/14013031483870.pdf,txts/14013031483870.txt,no,ReportBuilder,ReportBuilder,no,,41200 bytes,no,1.3,,612 x 792.003 pts (letter),Tue May 27 17:10:14 2014,3
