"This file contains political files uploaded by WPVI-TV during the years 2014 as of 2014-11-19 23:16:55.019030. This station serves PHILADELPHIA, PA in the PHILADELPHIA market and FCC's partyName--generally the owner-- is ABC, INC.. FCC records give the rfChannel as 6, virtualChannel as 6 and network affiiliate as ABC."
order_number,revision,product,flight_date_start,flight_date_end,advertiser,original_date,revision_date,agency_name,demographic,spots,gross,contract_type,file_url,upload_time,callsign,file_size,fcc_id,pdf_location,txt_location,Tagged,Producer,Creator,Encrypted,Author,File size,Optimized,PDF version,Title,Page size,CreationDate,Pages
55020,,"BELGARD FOR CONGRESS, AIMEE",10/21/14,10/27/14,"Belgard for Congress, Aimee",08/06/14,08/06/14,GMMB,Adults 35+,16,"$25,600.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Aimee%20Belgard%20for%20Congress/Belgard%20for%20Congress%2055020%20Rev%200%20%2814074194501547%29.pdf,2014-08-07 09:50:00,WPVI-TV,149.00 Kb,14074194501547,pdfs/14074194501547.pdf,txts/14074194501547.txt,no,ReportBuilder,,no,,152578 bytes,yes,1.3,,612 x 792.003 pts (letter),Wed Aug  6 17:10:54 2014,4
55020,1,"BELGARD FOR CONGRESS, AIMEE",10/21/14,10/27/14,"Belgard for Congress, Aimee",08/06/14,09/25/14,GMMB,Adults 35+,16,"$25,400.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Aimee%20Belgard%20for%20Congress/Belgard%20for%20Congress%2055020%20Rev%201%20%2814116797370110%29.pdf,2014-09-25 16:52:00,WPVI-TV,151.12 Kb,14116797370110,pdfs/14116797370110.pdf,txts/14116797370110.txt,no,ReportBuilder,,no,,154743 bytes,no,1.3,,612 x 792.003 pts (letter),Thu Sep 25 09:11:54 2014,4
55020,2,"BELGARD FOR CONGRESS, AIMEE",10/21/14,10/27/14,"Belgard for Congress, Aimee",08/06/14,10/20/14,GMMB,Adults 35+,21,"$37,600.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Aimee%20Belgard%20for%20Congress/Belgard%20for%20Congress%2055020%20Rev%202%20%2814157429001973%29.pdf,2014-11-11 16:55:00,WPVI-TV,151.13 Kb,14157429001973,pdfs/14157429001973.pdf,txts/14157429001973.txt,no,ReportBuilder,,no,,154759 bytes,yes,1.5,,612 x 792.003 pts (letter),Mon Oct 20 13:12:09 2014,4
55023,,"BELGARD FOR CONGRESS, AIMEE",10/14/14,10/20/14,"Belgard for Congress, Aimee",08/06/14,08/06/14,GMMB,Adults 35+,16,"$25,600.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Aimee%20Belgard%20for%20Congress/Belgard%20for%20Congress%2055023%20Rev%200%20%2814074194436054%29.pdf,2014-08-07 09:50:00,WPVI-TV,150.99 Kb,14074194436054,pdfs/14074194436054.pdf,txts/14074194436054.txt,no,ReportBuilder,,no,,154615 bytes,no,1.3,,612 x 792.003 pts (letter),Thu Aug  7 09:22:57 2014,4
55023,1,"BELGARD FOR CONGRESS, AIMEE",10/14/14,10/20/14,"Belgard for Congress, Aimee",08/06/14,08/06/14,GMMB,Adults 35+,16,"$25,600.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Aimee%20Belgard%20for%20Congress/Belgard%20for%20Congress%2055023%20Rev%201%20%2814074194375505%29.pdf,2014-08-07 09:50:00,WPVI-TV,148.89 Kb,14074194375505,pdfs/14074194375505.pdf,txts/14074194375505.txt,no,ReportBuilder,,no,,152459 bytes,yes,1.3,,612 x 792.003 pts (letter),Wed Aug  6 17:13:16 2014,4
55023,2,"BELGARD FOR CONGRESS, AIMEE",10/14/14,10/20/14,"Belgard for Congress, Aimee",08/06/14,09/25/14,GMMB,Adults 35+,16,"$25,300.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Aimee%20Belgard%20for%20Congress/Belgard%20for%20Congress%2055023%20Rev%202%20%2814116797527150%29.pdf,2014-09-25 15:06:00,WPVI-TV,151.00 Kb,14116797527150,pdfs/14116797527150.pdf,txts/14116797527150.txt,no,ReportBuilder,,no,,154626 bytes,no,1.3,,612 x 792.003 pts (letter),Thu Sep 25 09:09:20 2014,4
55023,3,"BELGARD FOR CONGRESS, AIMEE",10/14/14,10/20/14,"Belgard for Congress, Aimee",08/06/14,10/10/14,GMMB,Adults 35+,20,"$35,400.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Aimee%20Belgard%20for%20Congress/Belgard%20for%20Congress%2055023%20Rev%203%20%2814132235112483%29.pdf,2014-10-13 14:05:00,WPVI-TV,150.69 Kb,14132235112483,pdfs/14132235112483.pdf,txts/14132235112483.txt,no,ReportBuilder,,no,,154303 bytes,yes,1.3,,612 x 792.003 pts (letter),Fri Oct 10 17:10:55 2014,4
55032,,"BELGARD FOR CONGRESS, AIMEE",10/28/14,11/03/14,"Belgard for Congress, Aimee",08/06/14,08/07/14,GMMB,Adults 35+,16,"$25,600.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Aimee%20Belgard%20for%20Congress/Belgard%20for%20Congress%2055032%20Rev%200%20%2814117347525679%29.pdf,2014-09-25 18:05:00,WPVI-TV,151.00 Kb,14117347525679,pdfs/14117347525679.pdf,txts/14117347525679.txt,no,ReportBuilder,,no,,154621 bytes,no,1.3,,612 x 792.003 pts (letter),Thu Sep 25 17:41:40 2014,4
55032,1,"BELGARD FOR CONGRESS, AIMEE",10/28/14,11/03/14,"Belgard for Congress, Aimee",08/06/14,09/25/14,GMMB,Adults 35+,16,"$25,400.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Aimee%20Belgard%20for%20Congress/Belgard%20for%20Congress%2055032%20Rev%201%20%2814117347722047%29.pdf,2014-09-25 18:05:00,WPVI-TV,151.01 Kb,14117347722047,pdfs/14117347722047.pdf,txts/14117347722047.txt,no,ReportBuilder,,no,,154631 bytes,no,1.3,,612 x 792.003 pts (letter),Thu Sep 25 17:42:46 2014,4
55032,2,"BELGARD FOR CONGRESS, AIMEE",10/28/14,11/03/14,"Belgard for Congress, Aimee",08/06/14,09/25/14,GMMB,Adults 35+,16,"$25,400.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Aimee%20Belgard%20for%20Congress/Belgard%20for%20Congress%2055032%20Rev%202%20%2814117347414178%29.pdf,2014-09-25 17:03:00,WPVI-TV,151.01 Kb,14117347414178,pdfs/14117347414178.pdf,txts/14117347414178.txt,no,ReportBuilder,,no,,154631 bytes,no,1.3,,612 x 792.003 pts (letter),Thu Sep 25 09:14:36 2014,4
55032,3,"BELGARD FOR CONGRESS, AIMEE",10/28/14,11/03/14,"Belgard for Congress, Aimee",08/06/14,10/24/14,GMMB,Adults 35+,16,"$25,000.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Aimee%20Belgard%20for%20Congress/Belgard%20for%20Congress%2055032%20Rev%203%20%2814150529384815%29.pdf,2014-11-03 17:15:00,WPVI-TV,151.00 Kb,14150529384815,pdfs/14150529384815.pdf,txts/14150529384815.txt,no,ReportBuilder,,no,,154621 bytes,no,1.3,,612 x 792.003 pts (letter),Mon Nov  3 09:32:59 2014,4
55032,4,"BELGARD FOR CONGRESS, AIMEE",10/28/14,11/03/14,"Belgard for Congress, Aimee",08/06/14,10/31/14,GMMB,Adults 35+,16,"$25,600.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Aimee%20Belgard%20for%20Congress/Belgard%20for%20Congress%2055032%20Rev%204%20%2814150529487820%29.pdf,2014-11-03 17:15:00,WPVI-TV,151.00 Kb,14150529487820,pdfs/14150529487820.pdf,txts/14150529487820.txt,no,ReportBuilder,,no,,154629 bytes,no,1.3,,612 x 792.003 pts (letter),Mon Nov  3 09:32:34 2014,4
55032,5,"BELGARD FOR CONGRESS, AIMEE",10/28/14,11/03/14,"Belgard for Congress, Aimee",08/06/14,10/31/14,GMMB,Adults 35+,18,"$26,900.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Aimee%20Belgard%20for%20Congress/Belgard%20for%20Congress%2055032%20Rev%205%20%2814150529619119%29.pdf,2014-11-03 17:16:00,WPVI-TV,149.94 Kb,14150529619119,pdfs/14150529619119.pdf,txts/14150529619119.txt,no,ReportBuilder,,no,,153534 bytes,yes,1.3,,612 x 792.003 pts (letter),Fri Oct 31 17:21:17 2014,4
62820,,"BELGARD FOR CONGRESS, AIMEE",10/06/14,10/13/14,"Belgard for Congress, Aimee",10/03/14,10/03/14,GMMB,Adults 35+,10,"$20,900.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Aimee%20Belgard%20for%20Congress/Belgard%20for%20Congress%2062820%20Rev%200%20%2814126252429869%29.pdf,2014-10-06 15:54:00,WPVI-TV,148.87 Kb,14126252429869,pdfs/14126252429869.pdf,txts/14126252429869.txt,no,ReportBuilder,,no,,152440 bytes,yes,1.3,,612 x 792.003 pts (letter),Mon Oct  6 09:12:40 2014,4
65306,,"BELGARD FOR CONGRESS, AIMEE",10/28/14,11/03/14,"Belgard for Congress, Aimee",10/24/14,10/24/14,GMMB,Adults 35+,29,"$62,800.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Aimee%20Belgard%20for%20Congress/Belgard%20for%20Congress%2065306%20Rev%200%20%2814141806201361%29.pdf,2014-10-24 15:57:00,WPVI-TV,151.69 Kb,14141806201361,pdfs/14141806201361.pdf,txts/14141806201361.txt,no,ReportBuilder,,no,,155329 bytes,yes,1.3,,612 x 792.003 pts (letter),Fri Oct 24 12:48:57 2014,4
63645,,DCCC / BELGARD,10/14/14,10/20/14,"DCCC / Belgard for Congress, Aimee",10/13/14,10/13/14,GMMB,Adults 35+,23,"$43,300.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/DCCC%20Aimee%20Belgard/DCCC%20Aimee%20Belgard%2063645%20Rev%200%20%2814132235749891%29.pdf,2014-10-13 14:06:00,WPVI-TV,150.68 Kb,14132235749891,pdfs/14132235749891.pdf,txts/14132235749891.txt,no,ReportBuilder,,no,,154298 bytes,yes,1.3,,612 x 792.003 pts (letter),Mon Oct 13 11:08:26 2014,4
59104,,Norcross 10/7-10/13/14,10/07/14,10/13/14,"Norcross for Congress, Inc., Donald",09/12/14,09/12/14,"Campaign Group, The",Adults 35+,26,"$43,100.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Donald%20Norcross%20for%20Congress/Donals%20Norcross%2059104%20Rev%200%20%2814134081297674%29.pdf,2014-10-15 17:22:00,WPVI-TV,152.89 Kb,14134081297674,pdfs/14134081297674.pdf,txts/14134081297674.txt,no,ReportBuilder,,no,,156564 bytes,no,1.3,,612 x 792.003 pts (letter),Thu Sep 18 16:06:09 2014,4
59104,1,Norcross 10/7-10/13/14,10/07/14,10/13/14,"Norcross for Congress, Inc., Donald",09/12/14,09/16/14,"Campaign Group, The",Adults 35+,30,"$51,100.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Donald%20Norcross%20for%20Congress/Donals%20Norcross%2059104%20Rev%201%20%2814134081083415%29.pdf,2014-10-15 17:21:00,WPVI-TV,153.96 Kb,14134081083415,pdfs/14134081083415.pdf,txts/14134081083415.txt,no,ReportBuilder,,no,,157651 bytes,no,1.3,,612 x 792.003 pts (letter),Thu Sep 18 16:06:41 2014,4
